cod_comercio,sk_cliente,num_documento,nbr_comercio,nbr_direccion_comercio,Departamento,nbr_provincia_hexagono,nbr_distrito_hexagono,num_latitud,num_longitud,gpvabo,ntrx,grp_economico,gpv,gpv_lm,gpv_l2m,gpv_l3m,gpv_l4m,gpv_l5m,gpv_l6m,kam_final_reasignado,tipo_cartera_final,etiqueta,nbr_mcc,telefono
100000000005804,c874cad7fd3b30b89d0a48edb3cab718a3fc8a24cd2450df501bd37bc41125c6,20609257823,FERRETERIA DAGA EIRL,"AV. MARISCAL LA MAR, MIRAFLORES 15074, PERU",LIMA,LIMA,MIRAFLORES,-12.1140106,-77.044973,15058.8,131.0,DAGA & JIMENEZ,20355.0,15283.8,22780.2,16927.5,18568.0,12666.83,15783.1,GARY AQUINO,KAM PYME,ESTABLE,MATERIALES DE CONSTRUCCIÓN (NO CLASIFICADOS EN OTRA MCC),919291420
100000000043534,3a0d61e257c1bdd99c30a113a5b0b79a938bd7a7ddcbf38cb1490ed86bb52a8c,20536080199,FRUTIX LAMOLINA-2,"AV. SEPARADORA INDUSTRIAL & AV LOS FRUTALES, LA MOLINA 15023, PERU",LIMA,LIMA,LA MOLINA,-12.0648152,-76.96477999999999,15972.96,851.0,FRUTIX,119922.86,218437.1,227565.03,584915.67,556793.36,602666.85,640771.07,GUILLERMO MERINO,KAM BDN,TOP 10,PASTELERÍAS,954776734
100000000129206,096501b6f4d8ab15b1f881721ac0b3d2d5baac4a7025dcdad4672385235b8b7c,10470693385,SALUD NATURAL,"PISO 0, AV. CANADÁ 3644, LIMA 15021, PERU",LIMA,LIMA,SAN LUIS,-12.0805948,-76.9925772,475.0,7.0,SALUD NATURAL,880.9,890.0,843.0,1868.0,1303.0,1232.0,2409.0,JORGE RAMOS,KAM PYME,ESTABLE,FARMACÉUTICOS Y FARMACIAS (DROGUERIAS Y PERFUMERIAS),947531980
100000000136705,ae219209efee64cf6e555af42365eef73fa868e48100aa62d9382d8c796cfcc9,20558385007,EXEL PERU,"HF8H+9VJ URB. LOS CARDENALES PARK, LOS CARDENALES, JOSÉ LUIS BUSTAMANTE Y RIVERO 04009, PERU",AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,-16.4340303,-71.520353,188.0,1.0,EXEL PERU,19663.7,12405.7,34386.54,42993.9,22464.1,46967.2,29841.9,GUSTAVO MENDOCILLA,KAM PYME,ESTABLE,TIENDAS DE COSMÉTICOS,953283937
100000000054303,92755adff6607ab9ecce2f2a2055ff85ccfcce34ff581a9b3124a691f9bbdaff,20605393897,MARKET EL CRUCEÑITO,"ESTACIÓN ANGAMOS, SUR QUILLO, AV. ANGAMOS ESTE, SURQUILLO 15047, PERU",LIMA,LIMA,SURQUILLO,-12.1133132,-77.0251852,37906.4,914.0,EL CRUCEÑITO,63033.919,78680.0398,79253.28,72913.9108,76321.2568,80173.5,84053.65,VIANUSSA CANO,KAM PYME,ESTABLE,"MINIMARKETS, BODEGAS, SUPERMERCADOS",981573768
100000000101149,046cb48c417ea7ba9a42044e6c960c01258f9034b2f796811d430ed472a225d6,20506005133,SOLDAMUNDO,"CDRA 20, AV. LUIS BRAILLE 1225, LIMA 15081, PERU",LIMA,LIMA,LIMA,-12.0503611,-77.066846,0.0,0.0,SOLDAMUNDO,126353.3906,63063.8999,69459.32,60931.19,159792.9241,90065.2915,70612.65,ANABEL SANTAMARIA,KAM BDN,ESTABLE,SERVICIOS DE SOLDADURA,950044367
100000000136670,ceaf3208f1881c959e9b4c2e2a274468f0dd9d0ea8ce8c2e7f29c276ea2881a2,20523683081,VITAGEL,"INT 706 PISO 706, AV LA ENCALADA 1090, SANTIAGO DE SURCO 15023, PERU",LIMA,LIMA,SANTIAGO DE SURCO,-12.1058255,-76.9708342,64583.89,318.0,VITADOR SAC,25632.33,26583.2,55401.8,25180.13,21905.7,23387.85,43771.77,LIZET GUEVARA,KAM BDN,ESTABLE,OTRAS TIENDAS DE COMIDA,999999999
100000000005575,f1a76572e09ec0e133fd84e4642edb24103db13969964e4f32091da2335f6dd3,20517458687,IPALTEX EIRL -PIURA,"ICA, PIURA 20001, PERU",PIURA,PIURA,PIURA,-5.1956358,-80.6275766,22503.7,421.0,COMERCIO IPALTEX,18744.73,15445.33,28050.75,17246.4,15760.38,19540.69,14133.6,LUIS DE LUCIO,KAM PYME,ESTABLE,TIENDAS DE ROPA FAMILIAR,941098050
100000000088112,058af1a296391481e18e32a89c6780ef85361a1a08199639629aa084f7021cc1,20109709116,CADDIN,"D201, AV. DE LAS ARTES NTE. 1014, SAN BORJA 15037, PERU",LIMA,LIMA,SAN BORJA,-12.0899659,-76.99588100000001,6950.0,7.0,CADDIN,158513.0,86622.14,69777.78,41442.64,41295.0,16098.0,39038.86,YOSELIN TORNERO,KAM BDN,CRECIMIENTO,SUMINISTROS INDUSTRIALES (NO CLASIFICADOS EN OTRO MCC),945404361
100000000092624,ac2aab3b2c6c96bc22843b4539461ed32cc8a7ebfde00752353ea4d0b8545846,20606985046,CIDEAS ODONTO MEDICO SAC,"PISO 2, FRAY LUIS DE LEON 195, LA MOLINA 15012, PERU",LIMA,LIMA,LA MOLINA,-12.0622011,-76.9440924,0.0,0.0,CIDEAS ODONTO MEDICO,23938.2,19610.08,55948.0,28748.0,56186.389,23631.17,3980.0,JORGE CALLE,KAM PYME,ESTABLE,TIENDAS DE CUBIERTAS PARA PISOS.,981500885
100000000136022,3faf9151a3aa6d48d8e9fa0cda161cbb90e30bbedd976956693a82e5c2e1cef8,20554782958,VILLAMEDIC GROUP,"JR. HUIRACOCHA 1651, JESÚS MARÍA 15072, PERU",LIMA,LIMA,JESUS MARIA,-12.0791163,-77.0499833,625.0,12.0,VILLAMEDIC,677550.0,197760.0,54915.0,181795.0,90165.0,549497.0,3052162.0,GUILLERMO MERINO,KAM BDN,ESTABLE,OTROS SERVICIOS EDUCACIONALES,999999999
